kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1025115,2.52,36506.29,5472.49,-40908.0,9161.619235221335,,16583.82743144533
1025117,0.6,36506.29,5472.5,-1800.0,10611.831252745655,,28366.958747254346
1025118,0.48,35692.04,4336.13,-2640.0,10960.920308725388,,23567.24969127461
1025121,0.42,36506.29,5472.5,-3820.0,14602.774638068448,,18280.777266693458
1025128,0.36,35692.04,4336.13,0.0,15460.780394386411,,24567.389605613585
1025129,0.48,35692.04,4336.13,0.0,16646.77890941826,,23381.39109058174
1025139,1.2,36506.28,5472.5,-29919.0,9511.246724817553,,7535.033275182446
1025140,1.56,36506.28,5472.5,0.0,11073.789488424469,,30904.990511575532
1025142,0.72,36506.29,5472.49,,9395.63849279204,,
1025144,0.48,36506.29,5472.5,-2225.0,12912.988645536023,,24430.38468779731
1025146,19.67,36506.28,5472.5,-3600.0,8071.806619666432,,33723.95355318563
1025148,2.7,36506.29,5472.5,-48232.0,12117.689091383203,,11997.397204913097
1026035,9.71,35738.22,5380.83,-85754.0,,2.6364864864864868,32287.536096807416
1026037,1.75,35738.22,5380.83,-7884.0,,2.6364864864864868,36613.90714285715
1026043,4.44,35738.22,5380.82,-31766.0,4787.980985323011,,29176.554510172486
1026052,3.54,34923.97,4244.46,-21240.0,6204.847424593199,2.6364864864864868,26963.5825754068
1026053,0.72,35738.22,5380.82,-2880.0,,2.6364864864864868,37119.04
1026054,1.68,35738.22,5380.82,-10080.0,5704.964548498856,,29414.075451501143
1026062,4.79,34923.97,4244.46,-19152.0,,2.6364864864864868,35170.10014613779
1026063,3.0,34923.97,4244.46,-5250.0,5655.27836685534,,31763.151633144662
1026071,30.61,34923.97,4244.46,-728289.0,4221.0046605382595,2.6364864864864868,11154.906554750862
1026073,2.64,34664.68,4244.46,0.0,5763.7387825078185,,33145.40121749218
1026075,1.28,35738.22,5380.82,0.0,11112.6817325687,,30006.3582674313
1026079,0.18,35738.24,5380.83,-294.0,,2.6364864864864868,39485.736666666664
1026080,1.8,35738.22,5380.82,-7200.0,4121.366511671098,,32997.6734883289
1026081,2.46,35738.22,5380.82,-18409.0,,,33635.706666666665
1026082,6.96,35738.22,5380.82,-48720.0,6599.113974099882,,27519.926025900117
1027118,17.82,34556.88,4253.96,-377855.0,2095.8006231243544,,15511.05508955802
1028016,1.44,35639.9,5479.15,-14548.0,7512.606313981173,,23503.66590824105
1028027,10.82,35139.89,5479.15,-345798.0,7186.128019148155,,1473.7622581161704
1028028,3.62,35639.89,5479.15,-132905.0,7019.472722610746,,-2614.5211204007937
1028032,6.84,35639.89,5479.15,0.0,9842.932575570378,,31276.107424429625
1028033,10.16,35639.89,5479.15,-124526.0,7614.629514106165,,21247.91442290171
1028037,1.8,35639.89,5479.15,-111924.0,6948.70274794171,,-28009.662747941707
1028041,4.67,35639.89,5479.15,-100433.0,8343.343856983838,,11269.700425671406
1028042,5.92,35639.89,5479.15,-154548.0,6770.6351098133955,,8242.323809105525
1028043,10.74,35639.89,5479.15,-441709.0,6933.4907847012155,,-6941.918196246836
1028044,1.44,35639.89,5479.15,-18762.0,8891.327852168779,,19198.545481164554
1028045,2.1,35639.88,5479.15,-7778.0,7379.145760059318,2.6364864864864868,30036.074716131156
1028050,3.0,35639.89,5479.15,-103905.0,6663.939074336029,,-179.8990743360264
1028053,1.08,35639.89,5479.14,-7187.0,7299.660071061475,,27164.740299308898
1028066,4.9,35639.89,5479.15,-134221.0,6983.280850108081,,6743.718333565394
1028068,8.93,35639.89,5479.15,-203200.0,,2.6364864864864868,18364.280761478163
1028069,10.08,35639.89,5479.15,-198213.0,6236.226323851398,,15218.825580910507
1028071,4.44,35639.89,5479.15,-37660.0,8058.240727980208,,24578.817290037812
1028075,5.46,35639.89,5479.15,-62388.0,7777.187607186013,,21915.478766440363
1029017,3.72,36451.29,5502.49,0.0,7762.3803580538315,,34191.39964194617
1029021,8.1,36451.29,5502.49,-58447.0,7501.012751091034,,27237.088236563286
1029027,2.52,36451.29,5502.49,-26236.0,9065.533760643377,,22477.135128245514
1029029,3.0,35377.75,4366.13,0.0,6730.077744098377,,33013.802255901624
